,,Tops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Black,Light Blue,Blue,Dark Blue,White,Light Brown,Brown,Dark Brown,Light Gray,Gray,Dark Gray,Light Red,Red,Dark Red,Light Green,Green,Dark Green,Light Orange,Orange,Dark Orange,Light Purple,Purple,Dark Purple,Light Yellow,Yellow,Dark Yellow,,Count of 3s,Count of 2s,Count of 1s,Count of 0s
Bottoms,Black,3,3,3,3,3,2,1,0,3,3,3,3,3,3,2,2,3,2,2,1,3,3,3,3,2,1,,16,6,3,1
,Light Blue,1,0,1,2,2,0,0,0,1,2,2,1,2,2,1,1,2,0,0,1,0,1,2,1,1,0,,0,8,10,8
,Blue,3,1,0,1,2,0,0,0,1,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,,1,3,6,16
,Dark Blue,3,2,3,3,3,2,1,0,2,3,3,2,2,3,1,1,2,1,0,0,3,2,2,2,2,1,,8,10,5,3
,White,1,2,3,3,1,1,1,0,1,3,3,2,2,2,1,1,2,0,0,0,2,2,2,2,1,0,,4,9,8,5
,Light Brown,2,2,2,2,2,1,1,1,2,2,2,1,1,1,0,1,2,0,0,0,2,1,1,0,0,0,,0,10,9,7
,Brown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,26,0
,Dark Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,26
,Light Gray,3,2,3,3,3,1,1,1,2,3,3,3,3,3,2,2,3,1,1,1,3,3,3,1,1,1,,13,4,9,0
,Gray,3,3,3,3,3,1,1,1,2,3,3,3,3,3,2,2,3,1,1,1,3,3,3,1,1,1,,14,3,9,0
,Dark Gray,3,3,3,3,3,1,1,1,2,3,3,3,3,3,2,2,3,1,1,1,3,3,3,1,1,1,,14,3,9,0
,Light Red,1,2,2,2,2,1,1,1,2,2,2,1,2,2,1,1,3,0,0,0,2,2,2,1,2,2,,1,14,8,3
,Red,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,3,0,0,0,2,2,2,2,2,2,,1,17,5,3
,Dark Red,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,3,0,0,0,2,2,2,2,2,2,,1,17,5,3
,Light Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,26
,Green,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,25
,Dark Green,3,3,3,3,2,2,1,1,3,3,3,3,3,3,1,1,2,1,0,0,2,2,2,2,1,1,,10,7,7,2
,Light Orange,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1,23
,Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,26
,Dark Orange,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,25
,Light Purple,1,2,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,,0,2,17,7
,Purple,1,2,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,,0,2,17,7
,Dark Purple,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,3,0,0,0,2,2,2,2,2,2,,1,17,5,3
,Light Yellow,2,2,2,2,3,0,0,0,1,1,2,1,2,2,1,1,2,0,0,0,2,2,2,1,1,1,,1,11,8,6
,Yellow,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,26,0
,Dark Yellow,1,1,2,2,2,0,0,0,2,2,2,1,1,1,1,1,2,0,0,0,1,1,1,0,0,0,,0,7,10,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Count of 3s,7,4,7,7,6,0,0,0,2,7,7,5,5,6,0,0,8,0,0,0,5,4,4,1,0,0,,,,,
,Count of 2s,5,11,7,11,9,3,0,0,10,7,10,5,8,7,4,4,8,1,1,0,8,8,9,6,6,4,,,,,
,Count of 1s,9,4,5,3,6,11,14,11,8,7,4,9,6,6,14,16,4,7,5,7,3,7,6,10,12,11,,,,,
,Count of 0s,5,7,7,5,5,12,12,15,6,5,5,7,7,7,8,6,6,18,20,19,10,7,7,9,8,11,,,,,
